"in_object_name";"atc_is_out_table";"atc_object_name";"atc_out_table_suffix"
"OUT_LDD_DOMAINS";true;"OUT_LDD_DOMAINS";"DOMAINS"
"OUT_LDD_FEE";true;"OUT_LDD_FEE";"FEE"
"OUT_LDD_CUSTOMER_COLL_CORR_H";true;"OUT_LDD_CUSTOMER_COLL_CORR_H";"H"
"OUT_LDD_CUSTOMER_GRC_RE_CORR_H";true;"OUT_LDD_CUSTOMER_GRC_RE_CORR_H";"H"
"OUT_LDD_CUSTOMER_DEAL_CORR";true;"OUT_LDD_CUSTOMER_DEAL_CORR";"CORR"
"OUT_SB_COLL_OBJ_REEVAL";true;"OUT_SB_COLL_OBJ_REEVAL";"REEVAL"
"OUT_SB_PARTY_INCOME_STG";true;"OUT_SB_PARTY_INCOME_STG";"STG"
"OUT_LDD_DEAL_OT_OP_RES_HC";true;"OUT_LDD_DEAL_OT_OP_RES_HC";"HC"
"OUT_SB_INACT_ACCOUNTS";true;"OUT_SB_INACT_ACCOUNTS";"ACCOUNTS"
"OUT_LDD_GL_ACCOUNT_TYPE_CC";true;"OUT_LDD_GL_ACCOUNT_TYPE_CC";"CC"
"OUT_FORBEARANCE_INTERVALS";true;"OUT_FORBEARANCE_INTERVALS";"INTERVALS"
"OUT_NE_REEXAMINATION_RATE_DET";true;"OUT_NE_REEXAMINATION_RATE_DET";"DET"
"OUT_NE_REEXAMINATION_RATE_REP";true;"OUT_NE_REEXAMINATION_RATE_REP";"REP"
"OUT_QRM_IGR_CF";true;"OUT_QRM_IGR_CF";"CF"
"OUT_QRM_IGR_COLL";true;"OUT_QRM_IGR_COLL";"COLL"
"OUT_LDD_LEASING";true;"OUT_LDD_LEASING";"LEASING"
"OUT_LDD_CTRL_LOAD_NOTIFICATION";true;"OUT_LDD_CTRL_LOAD_NOTIFICATION";"NOTIFICATION"
"OUT_NTF_WHC_CARD_MV";true;"OUT_NTF_WHC_CARD_MV";"MV"
"OUT_AML_TRANSACTION_DAILY_CNT";true;"OUT_AML_TRANSACTION_DAILY_CNT";"CNT"
"OUT_AML_BRANCH";true;"OUT_AML_BRANCH";"BRANCH"
"OUT_AML_PRODUCT";true;"OUT_AML_PRODUCT";"PRODUCT"
"OUT_LDD_FEE_GPM_STG1";true;"OUT_LDD_FEE_GPM_STG1";"STG1"
"OUT_SCO_DEAL";true;"OUT_SCO_DEAL";"DEAL"
"OUT_SCO_FEE_GPM";true;"OUT_SCO_FEE_GPM";"GPM"
"OUT_SCO_CUSTOMER_DEAL";true;"OUT_SCO_CUSTOMER_DEAL";"DEAL"
"OUT_SCO_CUSTOMER";true;"OUT_SCO_CUSTOMER";"CUSTOMER"
"OUT_SCO_REL_MANAGER";true;"OUT_SCO_REL_MANAGER";"MANAGER"
"OUT_LDD_DEAL_STG5_DOMAINS";true;"OUT_LDD_DEAL_STG5_DOMAINS";"DOMAINS"
"OUT_LDD_DEAL_STG6_DEP_INS";true;"OUT_LDD_DEAL_STG6_DEP_INS";"INS"
"OUT_LDD_WORKOUT_EXP_INC_CORR";true;"OUT_LDD_WORKOUT_EXP_INC_CORR";"CORR"
"OUT_LDD_WORKOUT_EXP_INC_CORR_H";true;"OUT_LDD_WORKOUT_EXP_INC_CORR_H";"H"
"OUT_RICOS_ACC_COLL";true;"OUT_RICOS_ACC_COLL";"COLL"
"OUT_LDD_GROSSBAL_DEF";true;"OUT_LDD_GROSSBAL_DEF";"DEF"
"OUT_NOTIF_AUT_ADJUST";true;"OUT_NOTIF_AUT_ADJUST";"ADJUST"
"OUT_LDD_RESULT_ABC";true;"OUT_LDD_RESULT_ABC";"ABC"
"OUT_LDD_B2_EXPOSURE_BASE";true;"OUT_LDD_B2_EXPOSURE_BASE";"BASE"
"OUT_SB_PT_PACKAGE_EXCLUDED";true;"OUT_SB_PT_PACKAGE_EXCLUDED";"EXCLUDED"
"OUT_LDD_FORBEARANCE_BK";true;"OUT_LDD_FORBEARANCE_BK";"BK"
"OUT_SOA_AXA_CARD_INCHIS_MV";true;"OUT_SOA_AXA_CARD_INCHIS_MV";"MV"
"OUT_LDD_DEAL_SECU";true;"OUT_LDD_DEAL_SECU";"SECU"
"OUT_LDD_RWA_CUSTOMER";true;"OUT_LDD_RWA_CUSTOMER";"CUSTOMER"
"OUT_NTF_OVD_WEEKLY";true;"OUT_NTF_OVD_WEEKLY";"WEEKLY"
"OUT_LDD_COAL_COLL_EXP_CRR";true;"OUT_LDD_COAL_COLL_EXP_CRR";"CRR"
"OUT_LDD_CVA_RESULT_CUSTOMER";true;"OUT_LDD_CVA_RESULT_CUSTOMER";"CUSTOMER"
"OUT_LGD_DEF_ACCOUNT_PAYMENTS_H";true;"OUT_LGD_DEF_ACCOUNT_PAYMENTS_H";"H"
"OUT_LGD_DEF_ACCOUNT_STATUS";true;"OUT_LGD_DEF_ACCOUNT_STATUS";"STATUS"
"OUT_SB_FIN_STATEMENTS_NOTIF";true;"OUT_SB_FIN_STATEMENTS_NOTIF";"NOTIF"
"OUT_FMS_OVD_LIMITS";true;"OUT_FMS_OVD_LIMITS";"LIMITS"
"OUT_LDD_ACCOUNT_CORR_H";true;"OUT_LDD_ACCOUNT_CORR_H";"H"
"OUT_LDD_ADDS_GPM_CORR_H";true;"OUT_LDD_ADDS_GPM_CORR_H";"H"
"OUT_LDD_COLLATERAL_CORR";true;"OUT_LDD_COLLATERAL_CORR";"CORR"
"OUT_LDD_CUSTOMER_GRC_RE_CORR";true;"OUT_LDD_CUSTOMER_GRC_RE_CORR";"CORR"
"OUT_LDD_FEE_GPM_CORR";true;"OUT_LDD_FEE_GPM_CORR";"CORR"
"OUT_LDD_PREC_ACC_LEVEL__CORR";true;"OUT_LDD_PREC_ACC_LEVEL__CORR";"CORR"
"OUT_LDD_RESULT_FEE_GDP";true;"OUT_LDD_RESULT_FEE_GDP";"GDP"
"OUT_FB_ACCOUNT_INDICATORS";true;"OUT_FB_ACCOUNT_INDICATORS";"INDICATORS"
"OUT_LDD_SECURITY_H";true;"OUT_LDD_SECURITY_H";"H"
"OUT_LDD_CUSTOMER_REL";true;"OUT_LDD_CUSTOMER_REL";"REL"
"OUT_LDD_CUSTOMER_ACCOUNT";true;"OUT_LDD_CUSTOMER_ACCOUNT";"ACCOUNT"
"OUT_LDD_CUSTOMER_E";true;"OUT_LDD_CUSTOMER_E";"E"
"OUT_AML_ACCOUNT_DAILY_CNT";true;"OUT_AML_ACCOUNT_DAILY_CNT";"CNT"
"OUT_BACKUP_TABLES";true;"OUT_BACKUP_TABLES";"TABLES"
"OUT_STG_TE_CLGRP_HIERARCH_TREE";true;"OUT_STG_TE_CLGRP_HIERARCH_TREE";"TREE"
"OUT_LDD_FEE_GPM_STG2";true;"OUT_LDD_FEE_GPM_STG2";"STG2"
"OUT_AML_CUSTOMER_ACCOUNT_LINK";true;"OUT_AML_CUSTOMER_ACCOUNT_LINK";"LINK"
"OUT_LDD_DEAL_STG4";true;"OUT_LDD_DEAL_STG4";"STG4"
"OUT_LDD_HIERARCHY_15_CC";true;"OUT_LDD_HIERARCHY_15_CC";"CC"
"OUT_LDD_CUSTOMER_CORR_H";true;"OUT_LDD_CUSTOMER_CORR_H";"H"
"OUT_RICOS_PARTIES";true;"OUT_RICOS_PARTIES";"PARTIES"
"OUT_NTF_INSURANCE_POLICIES";true;"OUT_NTF_INSURANCE_POLICIES";"POLICIES"
"OUT_SB_PARTY_FACTS";true;"OUT_SB_PARTY_FACTS";"FACTS"
"OUT_SCO_IFRSPOSITION";true;"OUT_SCO_IFRSPOSITION";"IFRSPOSITION"
"OUT_FB_ACCOUNT_IND_BKP0305";true;"OUT_FB_ACCOUNT_IND_BKP0305";"BKP0305"
"OUT_LDD_RESULT_DEAL_CORR";true;"OUT_LDD_RESULT_DEAL_CORR";"CORR"
"OUT_LDD_CUST_RATING_ORR_BK";true;"OUT_LDD_CUST_RATING_ORR_BK";"BK"
"OUT_SB_COLLATERALS_EVAL";true;"OUT_SB_COLLATERALS_EVAL";"EVAL"
"OUT_FMS_PARTY_FACTS_BKP";true;"OUT_FMS_PARTY_FACTS_BKP";"BKP"
"OUT_LDD_BWI_FIN_STATEMENT";true;"OUT_LDD_BWI_FIN_STATEMENT";"STATEMENT"
"OUT_NTF_OVD_RENEWAL_V";true;"OUT_NTF_OVD_RENEWAL_V";"V"
"OUT_LGD_DEFAULT_ACCOUNTS_H";true;"OUT_LGD_DEFAULT_ACCOUNTS_H";"H"
"OUT_LGD_DEF_ACCOUNT_COSTS";true;"OUT_LGD_DEF_ACCOUNT_COSTS";"COSTS"
"OUT_LGD_DEF_COLL_STATUS_H";true;"OUT_LGD_DEF_COLL_STATUS_H";"H"
"OUT_SB_INTEREST_ADJUSTMENTS";true;"OUT_SB_INTEREST_ADJUSTMENTS";"ADJUSTMENTS"
"OUT_LDD_CLOSE_MONTH";true;"OUT_LDD_CLOSE_MONTH";"MONTH"
"OUT_LDD_LOADSTAT";true;"OUT_LDD_LOADSTAT";"LOADSTAT"
"OUT_SCO_FEE";true;"OUT_SCO_FEE";"FEE"
"OUT_LDD_COLL_ACCOUNT_CORR_H";true;"OUT_LDD_COLL_ACCOUNT_CORR_H";"H"
"OUT_LDD_CUSTOMER_RATING_CORR_H";true;"OUT_LDD_CUSTOMER_RATING_CORR_H";"H"
"OUT_LDD_INTEREST_GPM_CORR_H";true;"OUT_LDD_INTEREST_GPM_CORR_H";"H"
"OUT_LDD_ACCOUNT_CORR";true;"OUT_LDD_ACCOUNT_CORR";"CORR"
"OUT_SB_INTADJ_MOVEMENTS";true;"OUT_SB_INTADJ_MOVEMENTS";"MOVEMENTS"
"OUT_LDD_GL_ACC_DERIVATION_CC";true;"OUT_LDD_GL_ACC_DERIVATION_CC";"CC"
"OUT_FB_PARTY_INDICATORS";true;"OUT_FB_PARTY_INDICATORS";"INDICATORS"
"OUT_LDD_PRECACC_DEALS";true;"OUT_LDD_PRECACC_DEALS";"DEALS"
"OUT_LDD_ORGUNIT";true;"OUT_LDD_ORGUNIT";"ORGUNIT"
"OUT_LDD_ACCOUNT";true;"OUT_LDD_ACCOUNT";"ACCOUNT"
"OUT_LDD_GRP_REL_CUSTOMER";true;"OUT_LDD_GRP_REL_CUSTOMER";"CUSTOMER"
"OUT_LDD_ADDS_GPM";true;"OUT_LDD_ADDS_GPM";"GPM"
"OUT_AML_CUSTOMER_DAILY_CNT";true;"OUT_AML_CUSTOMER_DAILY_CNT";"CNT"
"OUT_LDD_DEAL_SYNTH_CODES";true;"OUT_LDD_DEAL_SYNTH_CODES";"CODES"
"OUT_SCO_REPAYMENT";true;"OUT_SCO_REPAYMENT";"REPAYMENT"
"OUT_AML_ACCOUNT_LOCAL_TYPE";true;"OUT_AML_ACCOUNT_LOCAL_TYPE";"TYPE"
"OUT_AML_COUNTY";true;"OUT_AML_COUNTY";"COUNTY"
"OUT_AML_CUSTOMER_SEGMENT_2";true;"OUT_AML_CUSTOMER_SEGMENT_2";"2"
"OUT_LDD_STG_DOM_INST_TYPE";true;"OUT_LDD_STG_DOM_INST_TYPE";"TYPE"
"OUT_SCO_CUSTOMER_REL";true;"OUT_SCO_CUSTOMER_REL";"REL"
"OUT_SCO_CUSTOMER_ALIAS";true;"OUT_SCO_CUSTOMER_ALIAS";"ALIAS"
"OUT_SCO_COLL_DEAL";true;"OUT_SCO_COLL_DEAL";"DEAL"
"OUT_SCO_COLL_ACCOUNT";true;"OUT_SCO_COLL_ACCOUNT";"ACCOUNT"
"OUT_LDD_DEAL_STG1";true;"OUT_LDD_DEAL_STG1";"STG1"
"OUT_LDD_FORBEARANCE";true;"OUT_LDD_FORBEARANCE";"FORBEARANCE"
"OUT_LDD_PRECACC_PROV_MONTH";true;"OUT_LDD_PRECACC_PROV_MONTH";"MONTH"
"OUT_LDD_CUSTOMER_CORR";true;"OUT_LDD_CUSTOMER_CORR";"CORR"
"OUT_LDD_REL_MANAGER_CORR";true;"OUT_LDD_REL_MANAGER_CORR";"CORR"
