"out_object_name";"out_object_suffix";"out_application";"out_functionality";"in_object_name"
"OUT_LDD_CUST_RATING_ORR";"BK";"LDD";"CUST_RATING_ORR";"OUT_LDD_CUST_RATING_ORR_BK"
"OUT_SCO_REPAYMENT";"REPAYMENT";"SCO";"REPAYMENT";"OUT_SCO_REPAYMENT"
"OUT_LGD_DEFAULT_COLL";"H";"LGD";"DEFAULT_COLL";"OUT_LGD_DEFAULT_COLL_H"
"OUT_AML_CUSTOMER_ACCOUNT_LINK";"LINK";"AML";"CUSTOMER_ACCOUNT_LINK";"OUT_AML_CUSTOMER_ACCOUNT_LINK"
"OUT_LDD_FEE_GPM_CORR";"CORR";"LDD";"FEE_GPM_CORR";"OUT_LDD_FEE_GPM_CORR"
"OUT_LDD_FEE_GPM_STG1";"STG1";"LDD";"FEE_GPM_STG1";"OUT_LDD_FEE_GPM_STG1"
"OUT_LDD_FEE_GPM_STG2";"STG2";"LDD";"FEE_GPM_STG2";"OUT_LDD_FEE_GPM_STG2"
"OUT_LDD_CUSTOMER_ACCOUN_CORR";"CORR";"LDD";"CUSTOMER_ACCOUN_CORR";"OUT_LDD_CUSTOMER_ACCOUN_CORR"
"OUT_LDD_COLLATERAL_CORR";"CORR";"LDD";"COLLATERAL_CORR";"OUT_LDD_COLLATERAL_CORR"
"OUT_LGD_DEF_COLL_COSTS";"COSTS";"LGD";"DEF_COLL_COSTS";"OUT_LGD_DEF_COLL_COSTS"
"OUT_LDD_RWA_EXPOSURE_COLL";"COLL";"LDD";"RWA_EXPOSURE_COLL";"OUT_LDD_RWA_EXPOSURE_COLL"
"OUT_LDD_CUSTOMER_ACCOUN_CORR";"H";"LDD";"CUSTOMER_ACCOUN_CORR";"OUT_LDD_CUSTOMER_ACCOUN_CORR_H"
"OUT_SB_INDICATOR_TYPES";"TYPES";"SB";"INDICATOR_TYPES";"OUT_SB_INDICATOR_TYPES"
"OUT_LGD_DEF_ACCOUNT_STATUS";"H";"LGD";"DEF_ACCOUNT_STATUS";"OUT_LGD_DEF_ACCOUNT_STATUS_H"
"OUT_SB_PARTY_FACTS";"FACTS";"SB";"PARTY_FACTS";"OUT_SB_PARTY_FACTS"
"OUT_QRM_IGR_COLL";"COLL";"QRM";"IGR_COLL";"OUT_QRM_IGR_COLL"
"OUT_LDD_CHR_VALUE_CC";"CC";"LDD";"CHR_VALUE_CC";"OUT_LDD_CHR_VALUE_CC"
"OUT_LDD_CUSTOMER_COLL";"BK";"LDD";"CUSTOMER_COLL";"OUT_LDD_CUSTOMER_COLL_BK"
"OUT_LDD_CVA_RESULT_CUSTOMER";"CUSTOMER";"LDD";"CVA_RESULT_CUSTOMER";"OUT_LDD_CVA_RESULT_CUSTOMER"
"OUT_LGD_DEF_ACCOUNT_PAYMENTS";"PAYMENTS";"LGD";"DEF_ACCOUNT_PAYMENTS";"OUT_LGD_DEF_ACCOUNT_PAYMENTS"
"OUT_LDD_REL_MANAGER_CORR";"H";"LDD";"REL_MANAGER_CORR";"OUT_LDD_REL_MANAGER_CORR_H"
"OUT_NOTIF_AUT_ADJUST";"ADJUST";"NOTIF";"AUT_ADJUST";"OUT_NOTIF_AUT_ADJUST"
"OUT_EAM_FATCA";"FATCA";"EAM";"FATCA";"OUT_EAM_FATCA"
"OUT_EAM_SHAREHOLDERS";"SHAREHOLDERS";"EAM";"SHAREHOLDERS";"OUT_EAM_SHAREHOLDERS"
"OUT_AML_ASSOC_INFO_DAILY_CNT";"CNT";"AML";"ASSOC_INFO_DAILY_CNT";"OUT_AML_ASSOC_INFO_DAILY_CNT"
"OUT_LDD_DEAL_AMT_INT_INCOME";"INCOME";"LDD";"DEAL_AMT_INT_INCOME";"OUT_LDD_DEAL_AMT_INT_INCOME"
"OUT_FB_INT_LOGS";"BKP0305";"FB";"INT_LOGS";"OUT_FB_INT_LOGS_BKP0305"
"OUT_LGD_DEF_COL_PAYMENTS";"PAYMENTS";"LGD";"DEF_COL_PAYMENTS";"OUT_LGD_DEF_COL_PAYMENTS"
"OUT_LDD_COAL_COLL_EXP_CRR";"CRR";"LDD";"COAL_COLL_EXP_CRR";"OUT_LDD_COAL_COLL_EXP_CRR"
"OUT_LDD_CUSTOMER_RATING_CORR";"H";"LDD";"CUSTOMER_RATING_CORR";"OUT_LDD_CUSTOMER_RATING_CORR_H"
"OUT_LDD_DEAL_COLL_STG";"STG";"LDD";"DEAL_COLL_STG";"OUT_LDD_DEAL_COLL_STG"
"OUT_LDD_GROSSBAL_DEF";"DEF";"LDD";"GROSSBAL_DEF";"OUT_LDD_GROSSBAL_DEF"
"OUT_LGD_DEF_COLL_STATUS";"STATUS";"LGD";"DEF_COLL_STATUS";"OUT_LGD_DEF_COLL_STATUS"
"OUT_FORBEARANCE_INTERVALS";"INTERVALS";"FORBEARANCE";"INTERVALS";"OUT_FORBEARANCE_INTERVALS"
"OUT_LDD_HIERARCHY_15_CC";"CC";"LDD";"HIERARCHY_15_CC";"OUT_LDD_HIERARCHY_15_CC"
