"in_object_name";"atc_is_out_table";"atc_object_name"
"OUT_LDD_DOMAINS";true;"OUT_LDD_DOMAINS"
"OUT_LDD_FEE";true;"OUT_LDD_FEE"
"OUT_LDD_CUSTOMER_COLL_CORR_H";true;"OUT_LDD_CUSTOMER_COLL_CORR_H"
"OUT_LDD_CUSTOMER_GRC_RE_CORR_H";true;"OUT_LDD_CUSTOMER_GRC_RE_CORR_H"
"OUT_LDD_CUSTOMER_DEAL_CORR";true;"OUT_LDD_CUSTOMER_DEAL_CORR"
"OUT_SB_COLL_OBJ_REEVAL";true;"OUT_SB_COLL_OBJ_REEVAL"
"OUT_SB_PARTY_INCOME_STG";true;"OUT_SB_PARTY_INCOME_STG"
"OUT_LDD_DEAL_OT_OP_RES_HC";true;"OUT_LDD_DEAL_OT_OP_RES_HC"
"OUT_SB_INACT_ACCOUNTS";true;"OUT_SB_INACT_ACCOUNTS"
"OUT_LDD_GL_ACCOUNT_TYPE_CC";true;"OUT_LDD_GL_ACCOUNT_TYPE_CC"
"OUT_FORBEARANCE_INTERVALS";true;"OUT_FORBEARANCE_INTERVALS"
"OUT_NE_REEXAMINATION_RATE_DET";true;"OUT_NE_REEXAMINATION_RATE_DET"
"OUT_NE_REEXAMINATION_RATE_REP";true;"OUT_NE_REEXAMINATION_RATE_REP"
"OUT_QRM_IGR_CF";true;"OUT_QRM_IGR_CF"
"OUT_QRM_IGR_COLL";true;"OUT_QRM_IGR_COLL"
"OUT_LDD_LEASING";true;"OUT_LDD_LEASING"
"OUT_LDD_CTRL_LOAD_NOTIFICATION";true;"OUT_LDD_CTRL_LOAD_NOTIFICATION"
"OUT_NTF_WHC_CARD_MV";true;"OUT_NTF_WHC_CARD_MV"
"OUT_AML_TRANSACTION_DAILY_CNT";true;"OUT_AML_TRANSACTION_DAILY_CNT"
"OUT_AML_BRANCH";true;"OUT_AML_BRANCH"
"OUT_AML_PRODUCT";true;"OUT_AML_PRODUCT"
"OUT_LDD_FEE_GPM_STG1";true;"OUT_LDD_FEE_GPM_STG1"
"OUT_SCO_DEAL";true;"OUT_SCO_DEAL"
"OUT_SCO_FEE_GPM";true;"OUT_SCO_FEE_GPM"
"OUT_SCO_CUSTOMER_DEAL";true;"OUT_SCO_CUSTOMER_DEAL"
"OUT_SCO_CUSTOMER";true;"OUT_SCO_CUSTOMER"
"OUT_SCO_REL_MANAGER";true;"OUT_SCO_REL_MANAGER"
"OUT_LDD_DEAL_STG5_DOMAINS";true;"OUT_LDD_DEAL_STG5_DOMAINS"
"OUT_LDD_DEAL_STG6_DEP_INS";true;"OUT_LDD_DEAL_STG6_DEP_INS"
"OUT_LDD_WORKOUT_EXP_INC_CORR";true;"OUT_LDD_WORKOUT_EXP_INC_CORR"
"OUT_LDD_WORKOUT_EXP_INC_CORR_H";true;"OUT_LDD_WORKOUT_EXP_INC_CORR_H"
"OUT_RICOS_ACC_COLL";true;"OUT_RICOS_ACC_COLL"
"OUT_LDD_GROSSBAL_DEF";true;"OUT_LDD_GROSSBAL_DEF"
"OUT_NOTIF_AUT_ADJUST";true;"OUT_NOTIF_AUT_ADJUST"
"OUT_LDD_RESULT_ABC";true;"OUT_LDD_RESULT_ABC"
"OUT_LDD_B2_EXPOSURE_BASE";true;"OUT_LDD_B2_EXPOSURE_BASE"
"OUT_SB_PT_PACKAGE_EXCLUDED";true;"OUT_SB_PT_PACKAGE_EXCLUDED"
"OUT_LDD_FORBEARANCE_BK";true;"OUT_LDD_FORBEARANCE_BK"
"OUT_SOA_AXA_CARD_INCHIS_MV";true;"OUT_SOA_AXA_CARD_INCHIS_MV"
"OUT_LDD_DEAL_SECU";true;"OUT_LDD_DEAL_SECU"
"OUT_LDD_RWA_CUSTOMER";true;"OUT_LDD_RWA_CUSTOMER"
"OUT_NTF_OVD_WEEKLY";true;"OUT_NTF_OVD_WEEKLY"
"OUT_LDD_COAL_COLL_EXP_CRR";true;"OUT_LDD_COAL_COLL_EXP_CRR"
"OUT_LDD_CVA_RESULT_CUSTOMER";true;"OUT_LDD_CVA_RESULT_CUSTOMER"
"OUT_LGD_DEF_ACCOUNT_PAYMENTS_H";true;"OUT_LGD_DEF_ACCOUNT_PAYMENTS_H"
"OUT_LGD_DEF_ACCOUNT_STATUS";true;"OUT_LGD_DEF_ACCOUNT_STATUS"
"OUT_SB_FIN_STATEMENTS_NOTIF";true;"OUT_SB_FIN_STATEMENTS_NOTIF"
"OUT_FMS_OVD_LIMITS";true;"OUT_FMS_OVD_LIMITS"
"OUT_LDD_ACCOUNT_CORR_H";true;"OUT_LDD_ACCOUNT_CORR_H"
"OUT_LDD_ADDS_GPM_CORR_H";true;"OUT_LDD_ADDS_GPM_CORR_H"
"OUT_LDD_COLLATERAL_CORR";true;"OUT_LDD_COLLATERAL_CORR"
"OUT_LDD_CUSTOMER_GRC_RE_CORR";true;"OUT_LDD_CUSTOMER_GRC_RE_CORR"
"OUT_LDD_FEE_GPM_CORR";true;"OUT_LDD_FEE_GPM_CORR"
"OUT_LDD_PREC_ACC_LEVEL__CORR";true;"OUT_LDD_PREC_ACC_LEVEL__CORR"
"OUT_LDD_RESULT_FEE_GDP";true;"OUT_LDD_RESULT_FEE_GDP"
"OUT_FB_ACCOUNT_INDICATORS";true;"OUT_FB_ACCOUNT_INDICATORS"
"OUT_LDD_SECURITY_H";true;"OUT_LDD_SECURITY_H"
"OUT_LDD_CUSTOMER_REL";true;"OUT_LDD_CUSTOMER_REL"
"OUT_LDD_CUSTOMER_ACCOUNT";true;"OUT_LDD_CUSTOMER_ACCOUNT"
"OUT_LDD_CUSTOMER_E";true;"OUT_LDD_CUSTOMER_E"
"OUT_AML_ACCOUNT_DAILY_CNT";true;"OUT_AML_ACCOUNT_DAILY_CNT"
"OUT_BACKUP_TABLES";true;"OUT_BACKUP_TABLES"
"OUT_STG_TE_CLGRP_HIERARCH_TREE";true;"OUT_STG_TE_CLGRP_HIERARCH_TREE"
"OUT_LDD_FEE_GPM_STG2";true;"OUT_LDD_FEE_GPM_STG2"
"OUT_AML_CUSTOMER_ACCOUNT_LINK";true;"OUT_AML_CUSTOMER_ACCOUNT_LINK"
"OUT_LDD_DEAL_STG4";true;"OUT_LDD_DEAL_STG4"
"OUT_LDD_HIERARCHY_15_CC";true;"OUT_LDD_HIERARCHY_15_CC"
"OUT_LDD_CUSTOMER_CORR_H";true;"OUT_LDD_CUSTOMER_CORR_H"
"OUT_RICOS_PARTIES";true;"OUT_RICOS_PARTIES"
"OUT_NTF_INSURANCE_POLICIES";true;"OUT_NTF_INSURANCE_POLICIES"
"OUT_SB_PARTY_FACTS";true;"OUT_SB_PARTY_FACTS"
"OUT_SCO_IFRSPOSITION";true;"OUT_SCO_IFRSPOSITION"
"OUT_FB_ACCOUNT_IND_BKP0305";true;"OUT_FB_ACCOUNT_IND_BKP0305"
"OUT_LDD_RESULT_DEAL_CORR";true;"OUT_LDD_RESULT_DEAL_CORR"
"OUT_LDD_CUST_RATING_ORR_BK";true;"OUT_LDD_CUST_RATING_ORR_BK"
"OUT_SB_COLLATERALS_EVAL";true;"OUT_SB_COLLATERALS_EVAL"
"OUT_FMS_PARTY_FACTS_BKP";true;"OUT_FMS_PARTY_FACTS_BKP"
"OUT_LDD_BWI_FIN_STATEMENT";true;"OUT_LDD_BWI_FIN_STATEMENT"
"OUT_NTF_OVD_RENEWAL_V";true;"OUT_NTF_OVD_RENEWAL_V"
"OUT_LGD_DEFAULT_ACCOUNTS_H";true;"OUT_LGD_DEFAULT_ACCOUNTS_H"
"OUT_LGD_DEF_ACCOUNT_COSTS";true;"OUT_LGD_DEF_ACCOUNT_COSTS"
"OUT_LGD_DEF_COLL_STATUS_H";true;"OUT_LGD_DEF_COLL_STATUS_H"
"OUT_SB_INTEREST_ADJUSTMENTS";true;"OUT_SB_INTEREST_ADJUSTMENTS"
"OUT_LDD_CLOSE_MONTH";true;"OUT_LDD_CLOSE_MONTH"
"OUT_LDD_LOADSTAT";true;"OUT_LDD_LOADSTAT"
"OUT_SCO_FEE";true;"OUT_SCO_FEE"
"OUT_LDD_COLL_ACCOUNT_CORR_H";true;"OUT_LDD_COLL_ACCOUNT_CORR_H"
"OUT_LDD_CUSTOMER_RATING_CORR_H";true;"OUT_LDD_CUSTOMER_RATING_CORR_H"
"OUT_LDD_INTEREST_GPM_CORR_H";true;"OUT_LDD_INTEREST_GPM_CORR_H"
"OUT_LDD_ACCOUNT_CORR";true;"OUT_LDD_ACCOUNT_CORR"
"OUT_SB_INTADJ_MOVEMENTS";true;"OUT_SB_INTADJ_MOVEMENTS"
"OUT_LDD_GL_ACC_DERIVATION_CC";true;"OUT_LDD_GL_ACC_DERIVATION_CC"
"OUT_FB_PARTY_INDICATORS";true;"OUT_FB_PARTY_INDICATORS"
"OUT_LDD_PRECACC_DEALS";true;"OUT_LDD_PRECACC_DEALS"
"OUT_LDD_ORGUNIT";true;"OUT_LDD_ORGUNIT"
"OUT_LDD_ACCOUNT";true;"OUT_LDD_ACCOUNT"
"OUT_LDD_GRP_REL_CUSTOMER";true;"OUT_LDD_GRP_REL_CUSTOMER"
"OUT_LDD_ADDS_GPM";true;"OUT_LDD_ADDS_GPM"
"OUT_AML_CUSTOMER_DAILY_CNT";true;"OUT_AML_CUSTOMER_DAILY_CNT"
"OUT_LDD_DEAL_SYNTH_CODES";true;"OUT_LDD_DEAL_SYNTH_CODES"
"OUT_SCO_REPAYMENT";true;"OUT_SCO_REPAYMENT"
"OUT_AML_ACCOUNT_LOCAL_TYPE";true;"OUT_AML_ACCOUNT_LOCAL_TYPE"
"OUT_AML_COUNTY";true;"OUT_AML_COUNTY"
"OUT_AML_CUSTOMER_SEGMENT_2";true;"OUT_AML_CUSTOMER_SEGMENT_2"
"OUT_LDD_STG_DOM_INST_TYPE";true;"OUT_LDD_STG_DOM_INST_TYPE"
"OUT_SCO_CUSTOMER_REL";true;"OUT_SCO_CUSTOMER_REL"
"OUT_SCO_CUSTOMER_ALIAS";true;"OUT_SCO_CUSTOMER_ALIAS"
"OUT_SCO_COLL_DEAL";true;"OUT_SCO_COLL_DEAL"
"OUT_SCO_COLL_ACCOUNT";true;"OUT_SCO_COLL_ACCOUNT"
"OUT_LDD_DEAL_STG1";true;"OUT_LDD_DEAL_STG1"
"OUT_LDD_FORBEARANCE";true;"OUT_LDD_FORBEARANCE"
"OUT_LDD_PRECACC_PROV_MONTH";true;"OUT_LDD_PRECACC_PROV_MONTH"
"OUT_LDD_CUSTOMER_CORR";true;"OUT_LDD_CUSTOMER_CORR"
"OUT_LDD_REL_MANAGER_CORR";true;"OUT_LDD_REL_MANAGER_CORR"
"OUT_RICOS_PRODUCTS";true;"OUT_RICOS_PRODUCTS"
"OUT_RICOS_RELEVANT_PARTIES";true;"OUT_RICOS_RELEVANT_PARTIES"
"OUT_SB_ELIGIBILITY_AUDIT";true;"OUT_SB_ELIGIBILITY_AUDIT"
"OUT_NTFINS_SEQUENCES";true;"OUT_NTFINS_SEQUENCES"
"OUT_CQA_PARTIES";true;"OUT_CQA_PARTIES"
"OUT_SB_INDICATORS";true;"OUT_SB_INDICATORS"
"OUT_EAM_FATCA";true;"OUT_EAM_FATCA"
"OUT_LDD_RWA_COLLATERAL";true;"OUT_LDD_RWA_COLLATERAL"
"OUT_SB_OB_CLIENT_IFRS_EXPOSURE";true;"OUT_SB_OB_CLIENT_IFRS_EXPOSURE"
"OUT_LDD_COAL_ALLOCATION";true;"OUT_LDD_COAL_ALLOCATION"
"OUT_LDD_COAL_EXP_BASE_CON";true;"OUT_LDD_COAL_EXP_BASE_CON"
"OUT_LDD_CVA_RESULT_EXPOSURE";true;"OUT_LDD_CVA_RESULT_EXPOSURE"
"OUT_LGD_DEF_REGISTER_H";true;"OUT_LGD_DEF_REGISTER_H"
"OUT_CCF_DEFAULT_HISTORY";true;"OUT_CCF_DEFAULT_HISTORY"
"OUT_EA_STORAGE_ACCOUNTS_MV";true;"OUT_EA_STORAGE_ACCOUNTS_MV"
"OUT_NTF_BLOCKED_AMOUNTS";true;"OUT_NTF_BLOCKED_AMOUNTS"
"OUT_LDD_RESULT_DEAL";true;"OUT_LDD_RESULT_DEAL"
"OUT_LDD_CUSTOMER_ALIAS_CORR_H";true;"OUT_LDD_CUSTOMER_ALIAS_CORR_H"
"OUT_LDD_REPAYMENT_CORR_H";true;"OUT_LDD_REPAYMENT_CORR_H"
"OUT_LDD_ADDS_GPM_CORR";true;"OUT_LDD_ADDS_GPM_CORR"
"OUT_LDD_COLL_DEAL_CORR";true;"OUT_LDD_COLL_DEAL_CORR"
"OUT_LDD_INTEREST_GPM_CORR";true;"OUT_LDD_INTEREST_GPM_CORR"
"OUT_SB_PARTY_INCOME";true;"OUT_SB_PARTY_INCOME"
"OUT_EXPORT_INACT";true;"OUT_EXPORT_INACT"
"OUT_LDD_DEFAULT_EXP_INC";true;"OUT_LDD_DEFAULT_EXP_INC"
"OUT_LDD_WORKOUT_EXP_INC_BK";true;"OUT_LDD_WORKOUT_EXP_INC_BK"
"OUT_LDD_EXCHANGE_RATE";true;"OUT_LDD_EXCHANGE_RATE"
"OUT_LDD_DOMAIN_B2PROSEG";true;"OUT_LDD_DOMAIN_B2PROSEG"
"OUT_LDD_CUSTOMER_P";true;"OUT_LDD_CUSTOMER_P"
"OUT_LDD_REPAYMENT";true;"OUT_LDD_REPAYMENT"
"OUT_LDD_COLL_ACCOUNT";true;"OUT_LDD_COLL_ACCOUNT"
"OUT_LDD_CUSTOMER_ALIAS";true;"OUT_LDD_CUSTOMER_ALIAS"
"OUT_AML_SUMMARY";true;"OUT_AML_SUMMARY"
"OUT_LDD_DWH_DEALS_H_STG";true;"OUT_LDD_DWH_DEALS_H_STG"
"OUT_LDD_DEAL_BK";true;"OUT_LDD_DEAL_BK"
"OUT_LDD_DEAL_EXCH";true;"OUT_LDD_DEAL_EXCH"
"OUT_AML_BUSINESS_SEGMENT_1";true;"OUT_AML_BUSINESS_SEGMENT_1"
"OUT_STG_TE_CLGRP_RELATIONS";true;"OUT_STG_TE_CLGRP_RELATIONS"
"OUT_AML_TRANSACTION_DAILY";true;"OUT_AML_TRANSACTION_DAILY"
"OUT_LDD_DEAL_STG4_OTHERSYST";true;"OUT_LDD_DEAL_STG4_OTHERSYST"
"OUT_LDD_DEAL_AMT_INT_INCOME";true;"OUT_LDD_DEAL_AMT_INT_INCOME"
"OUT_LDD_WORKOUT_EXP_INC";true;"OUT_LDD_WORKOUT_EXP_INC"
